GST_State_Code,Name,Place of Supply
,Nepal,
01-JK,Jammu & Kashmir,01-Jammu & Kashmir
02-HP,Himachal Pradesh,02-Himachal Pradesh
03-PB,Punjab,03-Punjab
04-CH,Chandigarh,04-Chandigarh
05-UK,Uttarakhand,05-Uttarakhand
06-HR,Haryana,06-Haryana
07-DL,Delhi,07-Delhi
08-RJ,Rajasthan,08-Rajasthan
09-UP,Uttar Pradesh,09-Uttar Pradesh
10-BR,Bihar,10-Bihar
13-NL,Nagaland,13-Nagaland
14-MN,Manipur,14-Manipur
15-MZ,Mizoram,15-Mizoram
17-ML,Meghalaya,17-Meghalaya
18-AS,Assam,18-Assam
19-WB,West Bengal,19-West Bengal
20-JH,Jharkhand,20-Jharkhand
21-OD,Odisha,21-Odisha
22-CG,Chattisgarh,22-Chattisgarh
23-MP,Madhya Pradesh,23-Madhya Pradesh
24-GJ,Gujarat,24-Gujarat
27-MH,Maharashtra,27-Maharashtra
29-KA,Karnataka,29-Karnataka
30-GA,Goa,30-Goa
32-KL,Kerala,32-Kerala
33-TN,Tamil Nadu,33-Tamil Nadu
34-PY,Pondicherry,34-Pondicherry
36-TS,Telangana,36-Telangana
37-AD,Andhra Pradesh,37-Andhra Pradesh